,0,1,2,3,4,5
0,1459407624000,10.71,10.75,10.64,10.64,41838792
1,1459494024000,10.62,10.69,10.5,10.66,36934188
2,1459839625000,10.62,10.81,10.5,10.7,59230864
3,1459926028000,10.68,10.75,10.61,10.72,43525954
4,1460012427000,10.72,10.73,10.59,10.59,37771959
5,1460098823000,10.55,10.67,10.5,10.57,37655386
6,1460358025000,10.6,10.8,10.6,10.72,78638602
7,1460444426000,10.7,10.71,10.62,10.67,29859954
8,1460530825000,10.73,10.97,10.71,10.81,85676036
9,1460617226000,10.88,10.9,10.79,10.84,32364630
10,1460703624000,10.84,10.94,10.8,10.88,49722404
11,1460962822000,10.82,10.85,10.73,10.73,35065401
12,1461049224000,10.77,10.81,10.71,10.77,21823994
13,1461135625000,10.77,10.78,10.36,10.52,60658625
14,1461222025000,10.52,10.63,10.45,10.51,55879920
15,1461308422000,10.46,10.62,10.41,10.55,35967712
16,1461567625000,10.56,10.56,10.42,10.5,34925775
17,1461654023000,10.48,10.6,10.46,10.59,29169938
18,1461740424000,10.58,10.61,10.52,10.57,23955393
19,1461826826000,10.58,10.76,10.54,10.66,45746041
20,1461913224000,10.64,10.64,10.55,10.57,40497767
21,1462258824000,10.58,10.72,10.52,10.68,48910210
22,1462345225000,10.68,10.75,10.66,10.72,41243559
23,1462431624000,10.69,10.72,10.65,10.72,23951683
24,1462518024000,10.73,10.73,10.52,10.52,34654514
25,1462777205000,10.5,10.53,10.32,10.35,41117102
26,1462863607000,10.34,10.37,10.27,10.28,29259978
27,1462950010000,10.3,10.44,10.3,10.37,32728951
28,1463036425000,10.31,10.4,10.25,10.38,32588550
29,1463122805000,10.35,10.4,10.33,10.35,18426611
30,1463382004000,10.32,10.36,10.25,10.36,21522468
31,1463468410000,10.36,10.37,10.24,10.3,25042422
32,1463554813000,10.29,10.32,10.17,10.3,53415062
33,1463641212000,10.27,10.32,10.25,10.25,17077776
34,1463727610000,10.24,10.33,10.19,10.3,20670377
35,1463986806000,10.33,10.34,10.25,10.28,32364676
36,1464073211000,10.27,10.28,10.19,10.21,25929404
37,1464159611000,10.25,10.28,10.19,10.23,20423540
38,1464246011000,10.22,10.27,10.17,10.22,26139653
39,1464332412000,10.22,10.29,10.19,10.27,22281892
40,1464591605000,10.25,10.28,10.2,10.28,38094687
41,1464678005000,10.26,10.57,10.26,10.55,94646716
42,1464764411000,10.51,10.55,10.44,10.48,55675091
43,1464850810000,10.47,10.48,10.42,10.46,29303622
44,1464937224000,10.47,10.52,10.41,10.5,42338929
45,1465196410000,10.51,10.53,10.45,10.51,33833201
46,1465282812000,10.52,10.53,10.48,10.52,22928215
47,1465369211000,10.54,10.54,10.46,10.5,26818824
48,1465801233000,10.46,10.47,10.33,10.33,34481683
49,1465887611000,10.34,10.41,10.32,10.4,27363726
50,1465974029000,10.33,10.48,10.32,10.44,37817241
51,1466060409000,8.57,8.6,8.53,8.57,38667008
52,1466146812000,8.57,8.61,8.54,8.58,31517300
53,1466406010000,8.59,8.6,8.56,8.6,27073158
54,1466492410000,8.61,8.65,8.58,8.61,38074985
55,1466578824000,8.6,8.73,8.58,8.73,47800201
56,1466665210000,8.67,8.7,8.63,8.66,33561422
57,1466751610000,8.64,8.7,8.52,8.57,42766409
58,1467010811000,8.57,8.64,8.54,8.61,32521418
59,1467097210000,8.58,8.64,8.56,8.63,33651928
60,1467183610000,8.63,8.69,8.62,8.69,36961156
61,1467270010000,8.69,8.74,8.66,8.7,36220487
62,1467356409000,8.69,8.73,8.68,8.71,34893019
63,1467615628000,8.69,8.86,8.67,8.81,60825712
64,1467702010000,8.8,8.83,8.77,8.81,42203729
65,1467788409000,8.8,8.82,8.76,8.79,32295017
66,1467874811000,8.79,8.8,8.74,8.78,31285308
67,1467961229000,8.79,8.79,8.73,8.74,26134229
68,1468220415000,8.75,8.79,8.74,8.75,36537252
69,1468306811000,8.75,8.89,8.74,8.88,71183240
70,1468393206000,8.88,9.05,8.86,8.99,79828864
71,1468479611000,8.97,9.0,8.91,8.94,35969939
72,1468566011000,8.95,9.0,8.91,8.99,35203395
73,1468825210000,8.99,9.08,8.97,9.04,50693492
74,1468911609000,9.04,9.05,8.95,8.97,36278781
75,1468998011000,8.96,8.99,8.95,8.96,31092641
76,1469084410000,8.95,9.01,8.95,8.99,34026127
77,1469170810000,8.99,8.99,8.92,8.94,29554964
78,1469430010000,8.93,8.98,8.91,8.98,26468286
79,1469516411000,8.97,9.12,8.97,9.11,54655692
80,1469602809000,9.12,9.17,8.91,9.01,81867834
81,1469689211000,8.98,9.11,8.97,9.08,47991038
82,1469775611000,9.08,9.24,9.03,9.2,67142534
83,1470034810000,9.18,9.34,9.17,9.28,75932441
84,1470121228000,9.24,9.26,9.17,9.25,44916516
85,1470207611000,9.21,9.22,9.15,9.18,42462218
86,1470294010000,9.17,9.18,8.93,8.99,134446207
87,1470380412000,8.99,9.07,8.95,9.04,72594819
88,1470639611000,9.04,9.11,9.01,9.11,39847930
89,1470726011000,9.09,9.15,9.07,9.15,41567631
90,1470812426000,9.15,9.18,9.12,9.14,43665545
91,1470898810000,9.14,9.35,9.13,9.22,93557601
92,1470985211000,9.2,9.53,9.18,9.5,137002155
93,1471244411000,9.55,9.8,9.51,9.68,189755226
94,1471330811000,9.68,9.68,9.46,9.52,109955862
95,1471417229000,9.52,9.6,9.48,9.55,56072536
96,1471503610000,9.56,9.59,9.43,9.5,69150431
97,1471590010000,9.49,9.52,9.43,9.51,50533453
98,1471849212000,9.5,9.51,9.36,9.4,97943273
99,1471935602000,9.38,9.45,9.37,9.4,89065673
100,1472022002000,9.41,9.43,9.38,9.43,73228127
101,1472108401000,9.42,9.45,9.34,9.44,61738960
102,1472194801000,9.45,9.47,9.4,9.45,50223385
103,1472454000000,9.41,9.45,9.38,9.42,56523188
104,1472540401000,9.42,9.47,9.41,9.47,59508123
105,1472626800000,9.46,9.5,9.43,9.49,48974676
106,1472713201000,9.49,9.52,9.42,9.45,48013121
107,1472799602000,9.43,9.46,9.42,9.45,36879633
108,1473058801000,9.46,9.46,9.4,9.42,46993656
109,1473145201000,9.42,9.43,9.36,9.41,57473833
110,1473231600000,9.41,9.42,9.37,9.4,45937329
