,名称,付款人数,价格,商品连接,图片连接
0,https://detail.tmall.com/item.htm?id=555563181860&ns=1&abbucket=11,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/1098943932/O1CN01biIv1t1eutxhC3LUy_!!0-item_pic.jpg_180x180.jpg_.webp,指甲贴片美甲贴片可穿戴美甲穿戴式女甲片成品可反复用拆卸,¥16.00,1.5万+
1,https://item.taobao.com/item.htm?id=552354462883&ns=1&abbucket=11#detail,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/2923472371/O1CN01Ly6Ztw1TNxjvNOl6z_!!2923472371.jpg_180x180.jpg_.webp,春季韩国网红可爱指甲贴纸女3d防水持久美甲贴纸全贴成品片,¥2.98,1.0万+
2,https://item.taobao.com/item.htm?id=615243633048&ns=1&abbucket=11#detail,https://g-search1.alicdn.com/img/bao/uploaded/i4/i2/1600356724/O1CN01SwShek1zXdlWNTPNq_!!1600356724.jpg_180x180.jpg_.webp,美甲指甲贴片成品可拆卸穿戴美甲反复女可摘可戴中长款欧美假,¥9.80,1.0万+
3,https://detail.tmall.com/item.htm?id=571801280663&ns=1&abbucket=11,https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/2090554232/O1CN01JcuJ4E1h8IoJgCbuL_!!0-item_pic.jpg_180x180.jpg_.webp,迪士尼儿童指甲贴纸女宝宝美甲纹身贴画冰雪奇缘爱莎公主卡通艾莎,¥7.80,1.0万+
4,https://item.taobao.com/item.htm?id=614754470637&ns=1&abbucket=11#detail,https://g-search1.alicdn.com/img/bao/uploaded/i4/i3/2638797388/O1CN01Uumc4U24RkncGjAcF_!!0-item_pic.jpg_180x180.jpg_.webp,法式欧美裸色学生自由拆卸穿戴持久可反复使用美甲成品假片,¥9.90,9000+
5,https://detail.tmall.com/item.htm?id=631658660164&ns=1&abbucket=11,https://g-search1.alicdn.com/img/bao/uploaded/i4/i1/2206560522974/O1CN01FVA51b1Xq8XqjGevF_!!0-item_pic.jpg_180x180.jpg_.webp,甲片美甲贴片超薄无痕成品可拆卸穿戴式透明全贴延长假片胶水,¥11.90,9000+
6,https://item.taobao.com/item.htm?id=632007049540&ns=1&abbucket=11#detail,https://g-search2.alicdn.com/img/bao/uploaded/i4/i4/2176368383/O1CN01Cvdun42BnSsKVEXbr_!!0-item_pic.jpg_180x180.jpg_.webp,果冻裸咖茶色穿戴美甲中长圆头纯色可穿戴可拆卸假成品片,¥9.90,9000+
7,https://detail.tmall.com/item.htm?id=606194344844&ns=1&abbucket=11,https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/1798803972/O1CN01NaBcXP1fDDox9O9lL_!!0-item_pic.jpg_180x180.jpg_.webp,甲片假指甲贴片美甲成品拆卸穿戴式女胶水超薄无痕透明延长甲盒装,¥12.00,9000+
8,https://detail.tmall.com/item.htm?id=637665236700&ns=1&abbucket=11,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/2207376884619/O1CN01KHzyeP1jzY5SreanY_!!0-item_pic.jpg_180x180.jpg_.webp,日系超薄甲片成品拆卸免刻磨无痕透明全贴半贴延长美甲店专用,¥18.00,8000+
9,https://item.taobao.com/item.htm?id=576953409283&ns=1&abbucket=11#detail,https://g-search2.alicdn.com/img/bao/uploaded/i4/i4/670358050/O1CN0112fjXR29KwzaIymLc_!!670358050.jpg_180x180.jpg_.webp,穿戴式甲片假指甲长短款可拆卸网红抖音成品新娘学生孕妇美甲片,¥9.80,7500+
10,https://detail.tmall.com/item.htm?id=618836879400&ns=1&abbucket=11,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/3937219703/O1CN01N0etfC2LY1h3zPC1d_!!3937219703-0-C2M.jpg_180x180.jpg_.webp,儿童指甲贴纸宝宝彩虹水果防水美甲贴女孩动物款卡通安全手指钻画,¥1.90,7500+
