,名称,价格,商品连接,图片连接
0,【2件起售】24片装ins少女心指甲片超软芭比无痕指甲贴美甲片美甲套装,¥11,https://detail.vip.com/detail-1710618032-6918732878482319312.html,https://h2.appsimg.com/a.appsimg.com/upload/merchandise/pdcvis/2020/10/26/119/4b43ec44-cbfe-46ca-89f3-1c73128e43d8_218x218_90.jpg
1,网红假指甲贴穿戴甲成品甲片美甲贴片拆卸指甲贴片女可摘戴美甲贴,¥25,https://detail.vip.com/detail-100987092-1705636425613396.html,https://h2.appsimg.com/a.appsimg.com/upload/merchandise/pdcpos/1100009803/2021/0322/84/368be0e5-45f8-42a7-bfc0-38c287fabd77_218x218_90.jpg
2,芭蕾法式公主山丘纹穿戴美甲假指甲美甲贴片指甲贴片甲片,¥18,https://detail.vip.com/detail-3131483-2166535865.html,https://h2.appsimg.com/a.appsimg.com/upload/merchandise/pdcpos/1100000432/2021/0316/118/b6e9683a-df92-40b4-82b6-57648336e978_218x218_90.jpg
3,美甲专用延长甲片透明无痕可拆卸假指甲全贴半贴贴片,¥35,https://detail.vip.com/detail-100894268-1588397540939292.html,https://h2.appsimg.com/a.appsimg.com/upload/merchandise/pdcpos/1100008823/2020/1231/47/23808e6b-4063-432e-b554-be7a84ff3a8b_218x218_90.jpg
4,延长胶美甲快速免纸托光疗水晶胶持久甲模无指甲贴片粘钻套装全套,¥28,https://detail.vip.com/detail-1711550688-6919237736871252928.html,https://h2.appsimg.com/a.appsimg.com/upload/merchandise/pdcvis/634045/2021/0324/163/2ed8a14d-ed1d-4755-84b0-013540d08b24_218x218_90.jpg
5,美甲笔刷法式甲片套装 一字剪点钻贴纸金银线死皮剪打磨美甲用品,¥45,https://detail.vip.com/detail-100987092-1702771319799892.html,https://h2.appsimg.com/a.appsimg.com/upload/merchandise/pdcpos/1100009803/2021/0320/144/67f1409c-bb22-49d3-a5df-989634023549_218x218_90.jpg
6,【多件划算】指甲贴片美甲贴 纸全贴美甲贴持久指甲贴白色贴片,¥12,https://detail.vip.com/detail-100843902-1614505464017950.html,https://h2.appsimg.com/a.appsimg.com/upload/merchandise/pdcpos/1100008395/2021/0118/16/46e51614-5d10-48e6-8c58-d54b66286989_218x218_90.jpg
7,美甲防溢胶初学者涂指甲油胶手指边缘贴可撕美甲辅助护理工具,¥26,https://detail.vip.com/detail-1711551056-6919220583740987344.html,https://h2.appsimg.com/a.appsimg.com/upload/merchandise/pdcvis/634280/2021/0311/104/b9d59ad0-61d9-45a3-b0a6-f739ed668672_218x218_90.jpg
8,DASHINGDIVA穿戴美甲贴片可搭美甲工具套装指甲油持久免烤光疗机,¥63,https://detail.vip.com/detail-100900005-1679524846749701.html,https://h2.appsimg.com/a.appsimg.com/upload/merchandise/pdcpos/1100008963/2021/0304/114/46e35782-4600-4078-838b-be10cc2358a9_218x218_90.jpg
9,画眉神器女画眉卡初学者全套眉贴修眉刀眉笔眉卡辅助器懒人眉毛贴,¥12,https://detail.vip.com/detail-3296586-2165329246.html,https://h2.appsimg.com/a.appsimg.com/upload/merchandise/pdcpos/1100000930/2019/1218/151/8948608d-1926-4955-a860-875edbc9f8b2_218x218_90.jpg
